Abadiano (Los Bajos) , Michoacán. Clave Lada 353
Metlaltoyuca , Puebla. Clave Lada 746
Metztitlan , Hidalgo. Clave Lada 774
Mexcaltitlan , Nayarit. Clave Lada 323
Mexicali , Baja California. Clave Lada 686
Mexicaltzingo , Estado de México. Clave Lada 722
Mexquitic de Carmona , San Luis Potosí. Clave Lada 444
Mexticacan , Jalisco. Clave Lada 344
Mezcala (Mp.Tepatitlan de Morelo) , Jal Clave Lada 378
Mezcala de los Romeros , Jalisco. Clave Lada 376
Mezcala , Guerrero. Clave Lada 733
Mezcales , Nayarit. Clave Lada 329
Mezquital del Oro , Zacatecas. Clave Lada 467
Mezquitan , Jalisco. Clave Lada 317
Mezquite Alto , Sinaloa. Clave Lada 687
Mezquite Gordo , Guanajuato Clave Lada 432
Mezquitic de la Magdalena , Jalisco. Clave Lada 395
Mezquitic , Jalisco. Clave Lada 457
Mezquititlan , Hidalgo. Clave Lada 774
Miacatlan , Morelos. Clave Lada 737
Miahuatlan , Oaxaca. Clave Lada 951
Michapa , Morelos. Clave Lada 751
Michoacan de Ocampo , Baja California. Clave Lada 686
Mieleras , Coahuila. Clave Lada 671
Mier y Noriega , Nuevo León. Clave Lada 488
Miguel Aeman Valdes , Veracrúz. Clave Lada 784
Miguel Ahumada , Chihuahua. Clave Lada 656
Miguel Aleman (La Doce) , Sonora. Clave Lada 662
Miguel Auza , Zacatecas. Clave Lada 433
Miguel Hidalgo (Hidalgo) , Zacatecas. Clave Lada 493
Miguel Hidalgo Clave Lada 2da. Seccion , Tabasco. Clave Lada 937
Miguel Hidalgo , CDMX (Ciudad de México). Clave Lada 55
Miguel Hidalgo , Tabasco. Clave Lada 933
Miguel Negrete (El Toboso) , Durango. Clave Lada 677
Milpas Viejas , Nayarit. Clave Lada 389
Milpillas de Allende , Zacatecas. Clave Lada 467
Milpillas de la Sierra , Zacatecas. Clave Lada 457
Mina Mexico , Estado de México. Clave Lada 725
Mina , Nuevo León. Clave Lada 829
Minas de Barroteran , Coahuila. Clave Lada 864
Minas la Florida (La Florida) , Coahuila. Clave Lada 864
Minatitlan , Colima. Clave Lada 314
Minatitlan , Veracrúz. Clave Lada 922
Mineral de San Pedro Pozos (Mineral de Pozos) , Guanajuato. Clave Lada 442
Mineral del Monte , Hidalgo. Clave Lada 771
Minzapan , Veracrúz. Clave Lada 924
Miquihuana , Tamaulipas. Clave Lada 832
Miraflores , Baja California Sur. Clave Lada 624
Mirandillas , Jalisco. Clave Lada 347
Misantla , Veracrúz. Clave Lada 235
Mision , Baja California. Clave Lada 646
Mismaloya , Jalisco. Clave Lada 322
Mismaloya , Jalisco. Clave Lada 376
Mitla , Oaxaca. Clave Lada 951
Mixquiahuala , Hidalgo. Clave Lada 738
Mixtlan , Jalisco. Clave Lada 388
Mocorito , Sinaloa. Clave Lada 673
Moctezuma , San Luis Potosí. Clave Lada 486
Moctezuma , Sonora. Clave Lada 634
Mochicahui Pueblo , Sinaloa. Clave Lada 698
Mochitlan , Guerrero. Clave Lada 754
Mogone Estacion , Oaxaca. Clave Lada 972
Molango , Hidalgo. Clave Lada 774
Molcaxac , Puebla. Clave Lada 224
Moloacan , Veracrúz. Clave Lada 923
Momax , Zacatecas. Clave Lada 437
Mompani , Querétaro. Clave Lada 442
Moncada , Guanajuato. Clave Lada 466
Monclova , Coahuila. Clave Lada 866
Monte Blanco , Veracrúz. Clave Lada 273
Monte Casino (Piamonte y Ensuen , Morelos. Clave Lada 777
Monte de Pena , Estado de México. Clave Lada 588
Monte Escobedo , Zacatecas. Clave Lada 457
Monte Mariana , Zacatecas. Clave Lada 493
Monte Salas , Veracrúz. Clave Lada 271
Monte Verde (El Coyote) , Chihuahua. Clave Lada 636
Monteleon , Michoacán. Clave Lada 356
Montemorelos , Nuevo León. Clave Lada 826
Montenegro , Querétaro. Clave Lada 442
Monteon , Nayarit. Clave Lada 327
Monterrey , Nuevo León. Clave Lada 81
Morelia , Michoacán. Clave Lada 443
Morelos Canada , Puebla. Clave Lada 249
Morelos , Coahuila. Clave Lada 862
Morelos , Veracrúz. Clave Lada 924
Morelos , Zacatecas. Clave Lada 492
Moris , Chihuahua. Clave Lada 635
Morocoy , Quintana Roo. Clave Lada 983
Moroleon , Guanajuato. Clave Lada 445
Morro de Mazatan , Oaxaca. Clave Lada 971
Motozintla , Chiapas. Clave Lada 962
Motul , Yucatán. Clave Lada 991
Moyahua , Zacatecas. Clave Lada 467
Moyota , Veracrúz. Clave Lada 288
Moyotepec , Morelos. Clave Lada 735
Mozomboa , Veracrúz. Clave Lada 296
Mulege (Mulege) , Baja California Sur. Clave Lada 615
Muna , Yucatán. Clave Lada 997
Munitepec de Madero , Hidalgo. Clave Lada 763
Munoz , Tlaxcala. Clave Lada 241
Muxupip , Yucatán. Clave Lada 991
Muzquiz , Coahuila. Clave Lada 864
Nacajuca , Tabasco. Clave Lada 914
Nacionalista de Sanchez Taboada , Baja California. Clave Lada 646
Naco , Sonora. Clave Lada 633
Nacori Chico , Sonora. Clave Lada 634
Nacozari , Sonora. Clave Lada 634
Nadadores , Coahuila. Clave Lada 869
Nahuatzen , Michoacán. Clave Lada 423
Naica , Chihuahua. Clave Lada 621
Namiquipa , Chihuahua. Clave Lada 659
Nanacamilpa , Tlaxcala. Clave Lada 748
Nanchital de Lazaro Cardenas del Rio , Veracrúz. Clave Lada 921
Naolinco de Victoria , Veracrúz. Clave Lada 279
Napateco , Hidalgo. Clave Lada 775
Naranjal , Veracrúz. Clave Lada 271
Naranjos , Veracrúz. Clave Lada 768
Naucalpan de Juarez (Mp.Huixqui , Estado de México. Clave Lada 55
Naucalpan de Juarez (Mp.Naucalp , Estado de México. Clave Lada 55
Nautla , Veracrúz. Clave Lada 235
Nauzontla , Puebla. Clave Lada 233
Nava , Coahuila. Clave Lada 862
Navarrete , Nayarit. Clave Lada 327
Navojoa , Sonora. Clave Lada 642
Navolato , Sinaloa. Clave Lada 672
Nayarit Llamada , Baja California. Clave Lada 686
Nazareno , Durango. Clave Lada 871
Nazas , Durango. Clave Lada 671
Necaxa , Puebla. Clave Lada 764
Nejapa de madero , Oaxaca. Clave Lada 995
Nepantla de Sor Juana Ines de la Cruz , Estado de México. Clave Lada 597
Neutla , Guanajuato. Clave Lada 412
Nexpa , Morelos. Clave Lada 734
Nextlalpan , Estado de México. Clave Lada 591
Nicolas Blanco (San Pancho) , Veracrúz. Clave Lada 296
Nicolas Bravo (Palo Alto) , Tamaulipas. Clave Lada 835
Nicolas Bravo Clave Lada 3ra. Seccion , Tabasco. Clave Lada 933
Nicolas Bravo , Chihuahua. Clave Lada 652
Nicolas Bravo , Durango. Clave Lada 677
Nicolas Bravo , Puebla. Clave Lada 238
Nicolas Bravo , Quintana Roo. Clave Lada 983
Nicolas R. Casillas , Jalisco. Clave Lada 33
Nieves , Zacatecas. Clave Lada 498
Nigromante , Guanajuato. Clave Lada 415
Ninos Heroes (Los Juanes) , Veracrúz. Clave Lada 924
Nio , Sinaloa. Clave Lada 687
Nochistlan , Zacatecas. Clave Lada 346
Nogales , Sonora. Clave Lada 631
Noh-bec , Quintana Roo. Clave Lada 983
Nombre de Dios , Durango. Clave Lada 675
Nonoava , Chihuahua. Clave Lada 635
Nopala , Hidalgo. Clave Lada 761
Nopaltepec , Estado de México. Clave Lada 592
Nopaltepec , Veracrúz. Clave Lada 288
Nopolo , Baja California Sur. Clave Lada 613
Noria de Angeles , Zacatecas. Clave Lada 496
Noria de Camarena , Guanajuato. Clave Lada 462
Norias de Ojocaliente , Aguascalientes. Clave Lada 449
Nueva Ciudad Guerrero , Tamaulipas. Clave Lada 897
Nueva Concordia , Chiapas. Clave Lada 992
Nueva Italia , Michoacán. Clave Lada 425
Nueva Madera , Chihuahua. Clave Lada 652
Nueva Pastoria (Las Penitas) , Zacatecas. Clave Lada 458
Nueva Rosita , Coahuila. Clave Lada 861
Nueve de Diciembre , Sinaloa. Clave Lada 668
Nuevo Padilla , Tamaulipas. Clave Lada 835
Nuevo Amatenango , Chiapas. Clave Lada 963
Nuevo Balsas , Guerrero. Clave Lada 736
Nuevo Canton (Poblado Siete) , Veracrúz. Clave Lada 924
Nuevo Casas Grandes , Chihuahua. Clave Lada 636
Nuevo Galeana , Guerrero. Clave Lada 732
Nuevo Ideal , Durango. Clave Lada 677
Nuevo Ixcatlan , Veracrúz. Clave Lada 283
Nuevo Laredo , Tamaulipas. Clave Lada 867
Nuevo Leon , Baja California. Clave Lada 686
Nuevo Mexico , Chiapas. Clave Lada 965
Nuevo Mexico , Guanajuato. Clave Lada 472
Nuevo Mexico , Jalisco. Clave Lada 33
Nuevo Michoacan , Veracrúz. Clave Lada 846
Nuevo Morelos (Adolfo Lopez Mat , Tamaulipas. Clave Lada 835
Nuevo Morelos , Tamaulipas. Clave Lada 482
Nuevo Progreso (El Doce) , Veracrúz. Clave Lada 782
Nuevo Progreso , Camp. Clave Lada 938
Nuevo Progreso , Tamaulipas. Clave Lada 899
Nuevo Refugio de Afuera , Jalisco. Clave Lada 391
Nuevo San Diego Tensaenz (El Caballo) , Durango. Clave Lada 674
Nuevo San Juan Parangaricutiro , Michoacán. Clave Lada 452
Nuevo Tantoan , Tamaulipas. Clave Lada 831
Nuevo Urecho , Michoacán. Clave Lada 422
Nuevo Vallarta , Nayarit. Clave Lada 322
Nuevo Valle de Moreno , Guanajuato. Clave Lada 477
Nuevo Valle , Jalisco. Clave Lada 391
Nuevo Xcan , Quintana Roo. Clave Lada 984
Nuevo Zirosto , Michoacán. Clave Lada 354
Numeran , Michoacán. Clave Lada 359
Nunkini , Camp. Clave Lada 996
Nurio , Michoacán. Clave Lada 423
Nuxco , Guerrero. Clave Lada 742
Oacalco , Morelos. Clave Lada 735
Oaxaca de Juarez , Oaxaca. Clave Lada 951
Oaxtepec , Morelos. Clave Lada 735
Obrajuelo , Guanajuato. Clave Lada 417
obrajuelo , Guanajuato. Clave Lada 413
Ocampo , Coahuila. Clave Lada 869
Ocampo , Guanajuato. Clave Lada 428
Ocampo , Michoacán. Clave Lada 715
Ocampo , Tamaulipas. Clave Lada 832
Oconahua , Jalisco. Clave Lada 386
Ocosingo , Chiapas. Clave Lada 919
Ocotepec , Puebla. Clave Lada 276
Ocotlan de Morelos , Oaxaca. Clave Lada 951
Ocotlan , Jalisco. Clave Lada 392
Ocotlan , Puebla. Clave Lada 233
Ocoyoacac , Estado de México. Clave Lada 728
Ocozocoautla , Chiapas. Clave Lada 968
Ocuilan de Arteaga , Estado de México. Clave Lada 714
Ocuilapa de Juarez , Chiapas. Clave Lada 968
Ocuituco , Morelos. Clave Lada 731
Ocumicho , Michoacán. Clave Lada 423
Ocho de Enero , Coahuila. Clave Lada 866
Ochomitas , Guanajuato. Clave Lada 411
Ojitos , Zacatecas. Clave Lada 498
Ojo Caliente , San Luis Potosí. Clave Lada 485
Ojo de Agua (Las Salinas) , Guerrero. Clave Lada 741
Ojo de Agua de Ballesteros , Guanajuato. Clave Lada 466
Ojo de Agua de la Palma , Zacatecas. Clave Lada 496
Ojo de Agua de la Trinidad , Guanajuato. Clave Lada 413
Ojo de Agua de Latillas , Jalisco. Clave Lada 378
Ojo de Agua de Mendoza , Guanajuato. Clave Lada 421
Ojo de Agua de Palmillas , Sinaloa. Clave Lada 695
Ojo de Agua del Refugio , Guanajuato. Clave Lada 419
Ojo de Agua Grande (California) , Veracrúz. Clave Lada 271
Ojo de Agua , Estado de México. Clave Lada 55
Ojo de Rana , Michoacán. Clave Lada 381
Ojocaliente , Zacatecas. Clave Lada 458
Ojos de Agua , Guanajuato. Clave Lada 429
Ojos Negros Real del Castillo , Baja California. Clave Lada 646
Ojuelos de Jalisco , Jalisco. Clave Lada 496
Olinala , Guerrero. Clave Lada 756
Omealca , Veracrúz. Clave Lada 278
Ometepec , Guerrero. Clave Lada 741
Omitlan de Juarez , Hidalgo. Clave Lada 771
Once de Febrero Clave Lada 1a. Seccion , Tabasco. Clave Lada 914
Opichen , Yucatán. Clave Lada 997
Ordenita de Barajas (Ordena de Barajas) , Guanajuato. Clave Lada 469
Orduna de Arriba , Guanajuato. Clave Lada 412
Oriental , Puebla. Clave Lada 276
Orilla del Monte , Veracrúz. Clave Lada 226
Orizaba , Veracrúz. Clave Lada 272
Orizabita , Hidalgo. Clave Lada 759
Ortiz , Sonora. Clave Lada 622
Oscar Soto Maynez , Chihuahua. Clave Lada 659
Oso Viejo , Sinaloa. Clave Lada 667
Osumacinta , Chiapas. Clave Lada 961
Otaez , Durango. Clave Lada 674
Otatitlan , Veracrúz. Clave Lada 287
Otatlan , Jalisco. Clave Lada 391
Oteros , Guanajuato. Clave Lada 464
Otumba , Estado de México. Clave Lada 592
Otzoloapan , Estado de México. Clave Lada 726
Otzumatlan (Rio de Parras) , Michoacán. Clave Lada 451
Oxchuc , Chiapas. Clave Lada 919
Oxkutzcab , Yucatán. Clave Lada 997
Oxtotipac , Estado de México. Clave Lada 592
Oxtotitlan , Guerrero. Clave Lada 736
Oyameles , Puebla. Clave Lada 233
Ozuluama , Veracrúz. Clave Lada 846
Ozumba , Estado de México. Clave Lada 597
Ozumbilla(Ejido El Zapote) , Estado de México. Clave Lada 55
Pabellon de Arteaga , Aguascalientes. Clave Lada 465
Pabellon de Hidalgo , Aguascalientes. Clave Lada 465
Pablillo , Nuevo León. Clave Lada 826
Pablo L. Sidar Clave Lada 1ra. Seccion , Tabasco. Clave Lada 993
Pacho Nuevo , Veracrúz. Clave Lada 279
Pacho Viejo , Veracrúz. Clave Lada 228
Pachuca de Soto , Hidalgo. Clave Lada 771
Pahuacan , Estado de México. Clave Lada 597
Pahuatlan de Valle , Puebla. Clave Lada 776
Paintla , Guerrero. Clave Lada 762
Pajarearan , Michoacán. Clave Lada 353
Palau , Coahuila. Clave Lada 864
Palenque , Chiapas. Clave Lada 916
Palizada , Camp. Clave Lada 913
Palma de la Cruz , San Luis Potosí. Clave Lada 444
Palma Grande , Nayarit. Clave Lada 319
Palma Pegada , San Luis Potosí. Clave Lada 496
Palma Sola , Veracrúz. Clave Lada 296
Palma Sola , Veracrúz. Clave Lada 782
Palmar Chico , Estado de México. Clave Lada 716
Palmar de Bravo , Puebla. Clave Lada 249
Palmarito Tochapan , Puebla. Clave Lada 249
Palmillas , Tamaulipas. Clave Lada 832
Palmillas , Zacatecas. Clave Lada 458
Palo Alto de Abajo , Guanajuato. Clave Lada 469
Palo Alto , Aguascalientes. Clave Lada 496
Palo Alto , Michoacán. Clave Lada 381
Palo Alto , Querétaro. Clave Lada 442
Palo Blanco , Guerrero. Clave Lada 747
Palo Verde , Guanajuato. Clave Lada 469
Palomar , Jalisco. Clave Lada 33
Palomares , Oaxaca. Clave Lada 972
Palos Altos , Jalisco. Clave Lada 373
Palos Blancos , Sinaloa. Clave Lada 687
Palpan de Baranda , Morelos. Clave Lada 737
Pamaseo , Guanajuato. Clave Lada 445
Pamatacuaro , Michoacán. Clave Lada 354
Panaba , Yucatán. Clave Lada 986
Pancho Villa (La Morita) , Chihuahua. Clave Lada 636
Panfilo Natera , Zacatecas. Clave Lada 458
Panindicuaro , Michoacán. Clave Lada 454
Panotla , Tlaxcala. Clave Lada 246
Pantanal , Nayarit. Clave Lada 311
Pantelho , Chiapas. Clave Lada 919
Pantepec , Puebla. Clave Lada 746
Panuco de Coronado , Durango. Clave Lada 676
Panuco , Veracrúz. Clave Lada 846
Panuco , Zacatecas. Clave Lada 478
Papaloapam , Oaxaca. Clave Lada 287
Papalotla , Tlaxcala. Clave Lada 222
Papanoa , Guerrero. Clave Lada 742
Papantla , Veracrúz. Clave Lada 784
Papatzindan de Romero (El Limon , Michoacán. Clave Lada 459
Paracuaro , Guanajuato. Clave Lada 417
Paracuaro , Michoacán. Clave Lada 425
Paracho , Michoacán. Clave Lada 423
Paraiso La Reforma , Veracrúz. Clave Lada 278
Paraiso Novillero , Veracrúz. Clave Lada 288
Paraiso , Tabasco. Clave Lada 933
Paraje Nuevo , Veracrúz. Clave Lada 271
Parangarico , Guanajuato. Clave Lada 411
Paredes , Aguascalientes. Clave Lada 465
Paredon Colorado (Paredon Viejo , Sonora. Clave Lada 644
Paredon , Chiapas. Clave Lada 994
Paredones , Baja California. Clave Lada 658
Paredones , Michoacán. Clave Lada 352
Pareo , Michoacán. Clave Lada 453
Paricuaro , Michoacán. Clave Lada 786
Parque Ind. Cienega de Flores , Nuevo León. Clave Lada 81
Parque Industrial Ciudad Mitras , Nuevo León. Clave Lada 81
Parque Industrial Cuautla , Morelos. Clave Lada 735
Parral , Chihuahua. Clave Lada 627
Parras de la Fuente , Coahuila. Clave Lada 842
Parres (El Guarda) , CDMX (Ciudad de México). Clave Lada 55
Parrilla Primera Seccion , Tabasco. Clave Lada 993
Pasaje , Durango. Clave Lada 671
Pascual Orozco (San Isidro) , Chihuahua. Clave Lada 635
Paso Ancho , Oaxaca. Clave Lada 958
Paso Blanco , San Luis Potosí. Clave Lada 444
Paso Bonito , San Luis Potosí. Clave Lada 444
Paso de Arena , Guerrero. Clave Lada 767
Paso de Cuarenta , Jalisco. Clave Lada 474
Paso de Dona Juana , Veracrúz. Clave Lada 296
Paso de la Milpa , Veracrúz. Clave Lada 279
Paso de Nunez , Michoacán. Clave Lada 459
Paso de Ovejas , Veracrúz. Clave Lada 285
Paso del Cedro , Veracrúz. Clave Lada 296
Paso del Macho , Veracrúz. Clave Lada 273
Paso Morelos (Cuetlajuchi) , Guerrero. Clave Lada 727
Paso Nacional , Durango. Clave Lada 671
Pastor Ortiz , Michoacán. Clave Lada 438
Pastor Rouaix , Durango. Clave Lada 871
Pastoria , Zacatecas. Clave Lada 458
Patamban (Patambam) , Michoacán. Clave Lada 355
Patambarillo , Michoacán. Clave Lada 359
Patzcuaro , Michoacán. Clave Lada 434
Patzimaro de Avina (Patzimaro del Rincon) , Michoacán. Clave Lada 352
Paxtle , Guanajuato. Clave Lada 472
Pedernales , Michoacán. Clave Lada 459
Pedregoso , Zacatecas. Clave Lada 496
Pedricena (Estacion Pedricena) , Durango. Clave Lada 671
Pedro Amaro , Morelos. Clave Lada 734
Pedro Escobedo , Querétaro. Clave Lada 448
Pedro Meoqui , Chihuahua. Clave Lada 639
Pegueros , Jalisco. Clave Lada 378
Pemex (Ciudad Pemex) , Tabasco. Clave Lada 936
Penjamillo , Michoacán. Clave Lada 359
Penjamo , Guanajuato. Clave Lada 469
Pena Blanca , Chihuahua. Clave Lada 652
Penamiller , Querétaro. Clave Lada 441
Penon Blanco , Durango. Clave Lada 676
Penuelas (El Cienegal) , Aguascalientes. Clave Lada 449
Penuelas , Guanajuato. Clave Lada 476
Peotillos , San Luis Potosí. Clave Lada 486
Peralta , Guanajuato. Clave Lada 429
Periban de Ramos , Michoacán. Clave Lada 354
Pericos , Sinaloa. Clave Lada 697
Perote , Veracrúz. Clave Lada 282
Pesqueira , Sonora. Clave Lada 623
Pesqueria , Nuevo León. Clave Lada 825
Petacalco , Guerrero. Clave Lada 753
Petalcingo , Chiapas. Clave Lada 919
Petatlan , Guerrero. Clave Lada 758
Petlalcingo , Puebla. Clave Lada 953
Peto , Yucatán. Clave Lada 997
Piaxtla de Arriba , Sinaloa. Clave Lada 696
Picardias , Durango. Clave Lada 871
Pichucalco , Chiapas. Clave Lada 932
Pie de Gallo , Querétaro. Clave Lada 442
Piedra Gorda , Zacatecas. Clave Lada 458
Piedras de Lumbre , Guanajuato. Clave Lada 421
Piedras Negras , Coahuila. Clave Lada 878
Piedras Negras , Veracrúz. Clave Lada 285
Pihuamo , Jalisco. Clave Lada 312
Pijijiapan , Chiapas. Clave Lada 918
Pilcaya , Guerrero. Clave Lada 721
Pilotos , Aguascalientes. Clave Lada 496
Pimentillo , Nayarit. Clave Lada 319
Pimienta , Zacatecas. Clave Lada 492
Pinal de Amoles , Querétaro. Clave Lada 441
Pino Suarez (Rancho Viejo) , Aguascalientes. Clave Lada 496
Pinos , Zacatecas. Clave Lada 496
Pinotepa de Don Luis , Oaxaca. Clave Lada 954
Pinotepa Nacional , Oaxaca. Clave Lada 954
Pinicuaro , Guanajuato. Clave Lada 445
Pipioltepec (Santa Maria Pipioltepec) , Estado de México. Clave Lada 726
Pisaflores Hidalgo , Hidalgo. Clave Lada 483
Piscila , Colima. Clave Lada 312
Piste , Yucatán. Clave Lada 985
Pitiquito , Sonora. Clave Lada 637
Pizandaro , Michoacán. Clave Lada 426
Placeres del Oro , Guerrero. Clave Lada 767
Plan de Arroyos , Veracrúz. Clave Lada 226
Plan de Ayala (Santa Rosa) , Guanajuato. Clave Lada 477
Plan de Ayala , Tamaulipas. Clave Lada 831
Plan de Iguala , San Luis Potosí. Clave Lada 845
Plan de las Hayas , Veracrúz. Clave Lada 279
Plan Guanajuato (La Sandia) , Guanajuato. Clave Lada 477
Platanar , Guanajuato Clave Lada 429
Platano y Cacao Clave Lada 2da. Seccion (L , Tabasco. Clave Lada 993
Plateros , Zacatecas. Clave Lada 493
Platon Sanchez , Veracrúz. Clave Lada 789
Playa Azul , Michoacán. Clave Lada 753
Playa de Vacas , Veracrúz. Clave Lada 285
Playa del Carmen , Quintana Roo. Clave Lada 984
Playa Vicente , Veracrúz. Clave Lada 283
Playas de Rosarito , Baja California. Clave Lada 661
Playas del Rosario (Subteniente Garcia) , Tabasco. Clave Lada 993
Plaza Vieja , Michoacán. Clave Lada 424
Plazuela , San Luis Potosí. Clave Lada 487
Plenitud , Zacatecas. Clave Lada 493
Plutarco Elias Calles Dos (La Y , Sonora. Clave Lada 637
Poblado Cinco , Veracrúz. Clave Lada 924
Poblado Heroes de Chapultepec , Baja California. Clave Lada 616
Poblado Numero Cinco , Sinaloa. Clave Lada 668
Poblado Numero Seis (Los Natoches) , Sinaloa. Clave Lada 668
Pochahuizco , Guerrero. Clave Lada 756
Polotitlan , Estado de México. Clave Lada 427
Pomuch , Camp. Clave Lada 996
Ponciano Arriaga , San Luis Potosí. Clave Lada 845
Poncitlan , Jalisco. Clave Lada 391
Popotla , Baja California. Clave Lada 661
Portugues de Galvez , Sinaloa. Clave Lada 687
Potam , Sonora. Clave Lada 643
Potrerillo del Norote , Sinaloa. Clave Lada 696
Potrerillos (Guanajal) , Guanajuato. Clave Lada 476
Potrerillos , Jalisco. Clave Lada 387
Potrerillos , Sinaloa. Clave Lada 694
Potrero del Llano , Veracrúz. Clave Lada 765
Potrero , Veracrúz. Clave Lada 273
Potreros , Guanajuato. Clave Lada 469
Poturo , Michoacán. Clave Lada 425
Poza Del Tule , Veracrúz. Clave Lada 846
Poza Rica , Veracrúz. Clave Lada 782
Pozo de Gamboa , Zacatecas. Clave Lada 478
Pozo de Ibarra , Nayarit. Clave Lada 323
Pozos CD. Porfirio Diaz (Mineral) , Guanajuato. Clave Lada 412
Praderas de la Hacienda (Antillon) , Guanajuato. Clave Lada 461
Praderas del Potrero , Hidalgo. Clave Lada 591
Praxedis G. Guerrero Nuevo (La , Durango. Clave Lada 618
Praxedis G. Guerrero , Chihuahua. Clave Lada 656
Praxedis Guerrero (Kilometro Di , Veracrúz. Clave Lada 783
Presa Blanca , Guanajuato. Clave Lada 461
Presa del Rosario , Michoacán. Clave Lada 453
Presa Palos Altos , Guerrero. Clave Lada 732
Presidente Echeverria (Laja Ten , Chiapas. Clave Lada 992
Primero de Mayo (Campo Clave Lada 77) , Sonora. Clave Lada 643
Primero de Mayo , Coahuila. Clave Lada 866
Primero de Mayo , Chiapas. Clave Lada 965
Primo Tapia , Baja California. Clave Lada 661
Progreso de Alfonso Medina (Colonia Progreso) , Zacatecas. Clave Lada 498
Progreso de la Union , Guanajuato. Clave Lada 429
Progreso de Zaragoza , Veracrúz. Clave Lada 784
Progreso Industrial , Estado de México. Clave Lada 55
Progreso , Coahuila. Clave Lada 861
Progreso , Hidalgo. Clave Lada 738
Progreso , Puebla. Clave Lada 275
Progreso , San Luis Potosí. Clave Lada 487
Progreso , Yucatán. Clave Lada 969
Providencia de Calera , Guanajuato. Clave Lada 411
Providencia , Sonora. Clave Lada 644
Provincia Juriquilla , Querétaro. Clave Lada 442
Puacuaro , Michoacán. Clave Lada 434
Puebla , Baja California. Clave Lada 686
Puebla , Puebla. Clave Lada 222
Pueblillo , Veracrúz. Clave Lada 784
Pueblito de Allende , Chihuahua. Clave Lada 628
Pueblo de Alamos , Sonora. Clave Lada 623
Pueblo Juarez (La Magdalena) , Colima. Clave Lada 312
Pueblo Mayo , Sonora. Clave Lada 642
Pueblo Nuevo Comaltitlan , Chiapas. Clave Lada 918
Pueblo Nuevo de las Raices , Tabasco. Clave Lada 993
Pueblo Nuevo de Porfirio Diaz , Puebla. Clave Lada 243
Pueblo Nuevo Solistahuacan , Chiapas. Clave Lada 919
Pueblo Nuevo , Guanajuato. Clave Lada 429
Pueblo Sanchez Magallane , Tabasco. Clave Lada 923
Pueblo Tecamac , Estado de México. Clave Lada 55
Pueblo Viejo , Michoacán. Clave Lada 451
Pueblo Viejo , Michoacán. Clave Lada 353
Pueblo Yaqui , Sonora. Clave Lada 643
Pueblos Unidos , Sinaloa. Clave Lada 667
Puente de Ixtla , Morelos. Clave Lada 751
Puente de Tierra , Michoacán. Clave Lada 786
Puente Grande , Jalisco. Clave Lada 33
Puente Jula , Veracrúz. Clave Lada 285
Puentecillas , Guanajuato. Clave Lada 473
Puerta de Andaracua , Guanajuato. Clave Lada 456
Puerta de Mangos , Nayarit. Clave Lada 323
Puerta de Palmillas , Querétaro. Clave Lada 427
Puerta de Tierra , Michoacán. Clave Lada 454
Puerto Adolfo Lopez Mateos , Baja California Sur. Clave Lada 613
Puerto Angel , Oaxaca. Clave Lada 958
Puerto Arista , Chiapas. Clave Lada 994
Puerto Aventuras , Quintana Roo. Clave Lada 984
Puerto de Cabras (Puerto de la , Michoacán. Clave Lada 455
Puerto Escondido , Oaxaca. Clave Lada 954
Puerto Libertad , Sonora. Clave Lada 637
Puerto Madero (San Benito) , Chiapas. Clave Lada 962
Puerto Morelos , Quintana Roo. Clave Lada 998
Puerto Penasco , Sonora. Clave Lada 638
Puerto San Carlos , Baja California Sur. Clave Lada 613
Puerto Sosa , Guanajuato. Clave Lada 415
Puerto Vallarta , Jalisco. Clave Lada 322
Pujal Coy , San Luis Potosí. Clave Lada 845
Pujiltic , Chiapas. Clave Lada 992
Punta Abreojos , Baja California Sur. Clave Lada 615
Punta Banda (El Rincon de Punta Banda) , Baja California. Clave Lada 646
Punta Colonet , Baja California. Clave Lada 616
Punta del Agua , Michoacán. Clave Lada 426
Purepero , Michoacán. Clave Lada 471
Purisima de Bustos , Guanajuato. Clave Lada 476
Purisima de Temascatio de Arrib , Guanajuato. Clave Lada 462
Purisima , Coahuila. Clave Lada 871
Puruagua , Guanajuato. Clave Lada 421
Puruandiro , Michoacán. Clave Lada 438
Puruaran , Michoacán. Clave Lada 459
Putla Villa de Guerrero , Oaxaca. Clave Lada 953
Quebrantadero (San Jose) , Morelos. Clave Lada 769
Quechultenango , Guerrero. Clave Lada 756
Querendaro , Michoacán. Clave Lada 451
Queretaro , Querétaro. Clave Lada 442
Querobabi , Sonora. Clave Lada 641
Queseria , Colima. Clave Lada 312
Quetchehueca , Sonora. Clave Lada 643
Quetzalapa , Guerrero. Clave Lada 741
Quetzalapa , Guerrero. Clave Lada 727
Quiamoloapan , Veracrúz. Clave Lada 924
Quila (Quila El Grande) , Jalisco. Clave Lada 349
Quila , Sinaloa. Clave Lada 667
Quimichis , Nayarit. Clave Lada 389
Quimixtlan , Puebla. Clave Lada 282
Quinceo , Michoacán. Clave Lada 423
Quintero , Tamaulipas. Clave Lada 831
Quiriego , Sonora. Clave Lada 647
Quiringuicharo (La Hacienda) , Michoacán. Clave Lada 328
Quiroga , Michoacán. Clave Lada 454
Quitupan , Jalisco. Clave Lada 382
